"","c_id","school","age","sex","SES_z","NAPLAN1_z","time","prev_dep","NAPLAN_z","prev_sdq"
"1.3",1,1,8.4976673,"female",-1.3272403,-0.3033435,3,4.9278054,-1.141229,31.57202
"1.5",1,1,8.4976673,"female",-1.3272403,-0.3033435,5,2.5367732,-0.90592861,25.646105
"1.7",1,1,8.4976673,"female",-1.3272403,-0.3033435,7,-0.40746006,0.47252285,20.761629
"2.3",2,1,8.6526031,"male",NA,-1.0476853,3,3.478827,0.0562835,26.854778
"2.5",2,1,8.6526031,"male",NA,-1.0476853,5,-0.096332528,0.38038418,19.457287
"2.7",2,1,8.6526031,"male",NA,-1.0476853,7,-0.85002178,-1.9173808,16.210501
"3.3",3,1,7.6304073,"female",0.12387282,-0.72512609,3,2.6864002,-0.67671931,24.912495
"3.5",3,1,7.6304073,"female",0.12387282,-0.72512609,5,4.8701096,-0.63482744,26.557962
"3.7",3,1,7.6304073,"female",0.12387282,-0.72512609,7,1.5458537,-0.28620002,20.237061
"4.3",4,1,8.8478041,"male",-0.88423824,-0.086240858,3,0.68059415,-0.16111265,13.965526
"4.5",4,1,8.8478041,"male",-0.88423824,-0.086240858,5,-0.25876537,1.1480197,14.369061
"4.7",4,1,8.8478041,"male",-0.88423824,-0.086240858,7,NA,-0.15430458,8.6206741
"5.3",5,1,7.7887292,"female",-0.8052662,-0.78995496,3,1.8755139,-0.52597678,21.328991
"5.5",5,1,7.7887292,"female",-0.8052662,-0.78995496,5,-0.34541434,-0.37092689,19.199289
"5.7",5,1,7.7887292,"female",-0.8052662,-0.78995496,7,2.3179078,-1.9506333,27.152592
"6.3",6,1,7.8111396,"female",0.075597323,-0.11829795,3,-0.090803981,0.0055205352,18.681261
"6.5",6,1,7.8111396,"female",0.075597323,-0.11829795,5,-0.36731717,0.056285191,15.70486
"6.7",6,1,7.8111396,"female",0.075597323,-0.11829795,7,0.94727826,1.1116655,24.305227
"7.3",7,1,8.7071753,"male",-0.61382139,-0.40979287,3,-0.59344643,0.77953982,20.775061
"7.5",7,1,8.7071753,"male",-0.61382139,-0.40979287,5,1.5293107,0.98489112,21.732601
"7.7",7,1,8.7071753,"male",-0.61382139,-0.40979287,7,-0.046084508,-0.14308131,23.490391
"8.3",8,1,7.5461359,"female",-1.3718194,0.10636918,3,0.18437447,0.02489117,19.979729
"8.5",8,1,7.5461359,"female",-1.3718194,0.10636918,5,0.55416387,1.2889029,22.488266
"8.7",8,1,7.5461359,"female",-1.3718194,0.10636918,7,3.8905718,2.1742496,29.280342
"9.3",9,1,9.3857546,"male",0.81457901,-0.99785823,3,NA,-1.1312113,6.0691013
"9.5",9,1,9.3857546,"male",0.81457901,-0.99785823,5,2.5715227,0.40548256,16.234226
"9.7",9,1,9.3857546,"male",0.81457901,-0.99785823,7,NA,-0.72820884,4.8575516
"10.3",10,1,8.511632,"female",0.66870648,-0.39643595,3,2.5976884,1.1467612,17.140606
"10.5",10,1,8.511632,"female",0.66870648,-0.39643595,5,-2.7303689,0.36537373,8.0642452
"10.7",10,1,8.511632,"female",0.66870648,-0.39643595,7,0.10919308,0.90829027,14.90423
"11.3",11,1,9.5255766,"male",-0.5371359,0.47832933,3,3.0992105,-0.27337319,21.367353
"11.5",11,1,9.5255766,"male",-0.5371359,0.47832933,5,1.0463822,0.24763878,14.290557
"11.7",11,1,9.5255766,"male",-0.5371359,0.47832933,7,NA,-0.80316174,16.834621
"12.3",12,1,8.2456217,"female",NA,0.051499464,3,1.4928087,0.4634437,19.138613
"12.5",12,1,8.2456217,"female",NA,0.051499464,5,-1.8329409,0.89554983,14.481718
"12.7",12,1,8.2456217,"female",NA,0.051499464,7,NA,0.67681473,6.7301579
"13.3",13,1,9.5212793,"male",1.8485637,-0.46683821,3,NA,0.95070934,3.9881449
"13.5",13,1,9.5212793,"male",1.8485637,-0.46683821,5,-0.93204659,-0.27319455,16.92411
"13.7",13,1,9.5212793,"male",1.8485637,-0.46683821,7,NA,-1.1945544,9.594367
"14.3",14,1,8.3771067,"female",-0.36412683,-0.17717636,3,3.2507234,-0.92540467,18.306196
"14.5",14,1,8.3771067,"female",-0.36412683,-0.17717636,5,2.2163179,-1.7566062,22.470331
"14.7",14,1,8.3771067,"female",-0.36412683,-0.17717636,7,1.1923984,-0.74807566,18.67234
"15.3",15,1,9.2920475,"male",0.23380765,0.99410731,3,NA,-1.4233531,10.566859
"15.5",15,1,9.2920475,"male",0.23380765,0.99410731,5,-0.5889985,-1.2597778,12.052454
"15.7",15,1,9.2920475,"male",0.23380765,0.99410731,7,NA,-0.19376452,11.136418
"16.3",16,1,7.9956784,"female",-0.80305904,-0.85462868,3,0.16653819,-2.030205,21.779514
